player_id,Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Matches,league,saison
f2b7d401,391,Wilfried Ndollo,CMR,DF,Montpellier,19.0,2005.0,8,3,401,4.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
5cdddffa,392,Tanguy Ndombele,FRA,MF,Nice,27.0,1996.0,18,12,1131,12.6,1,2,3,1,0,0,2,0,0.08,0.16,0.24,0.08,0.24,Matches,ligue1,2024-2025
c3b6fa1e,393,Loïc Nego,HUN,"DF,MF",Le Havre,33.0,1991.0,31,28,2459,27.3,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
c2a15a27,394,João Neves,POR,"MF,DF",Paris Saint-Germain,19.0,2004.0,29,22,1844,20.5,3,8,11,3,0,0,1,0,0.15,0.39,0.54,0.15,0.54,Matches,ligue1,2024-2025
b37ae816,395,Mikayil Ngor Faye,SEN,DF,Rennes,20.0,2004.0,11,7,688,7.6,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
731f1f5a,396,Steve Ngoura,FRA,FW,Le Havre,19.0,2005.0,8,2,289,3.2,1,0,1,1,0,0,0,0,0.31,0.0,0.31,0.31,0.31,Matches,ligue1,2024-2025
95915bb5,397,Bernard Nguene,CMR,FW,Nice,17.0,2006.0,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
00242715,398,Moussa Niakhate,SEN,DF,Lyon,28.0,1996.0,31,30,2726,30.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
b8cd2ae4,399,Abdoulaye Niakhate Ndiaye,SEN,DF,Brest,22.0,2002.0,22,19,1707,19.0,1,0,1,1,0,0,4,1,0.05,0.0,0.05,0.05,0.05,Matches,ligue1,2024-2025
46faabfa,400,Ibrahima Niane,SEN,FW,Angers,25.0,1999.0,24,8,943,10.5,3,1,4,2,1,1,0,0,0.29,0.1,0.38,0.19,0.29,Matches,ligue1,2024-2025
3f319bb9,401,Rasmus Nicolaisen,DEN,DF,Toulouse,27.0,1997.0,7,7,623,6.9,0,1,1,0,0,0,0,0,0.0,0.14,0.14,0.0,0.14,Matches,ligue1,2024-2025
7b9a9e25,402,Arnaud Nordin,FRA,"MF,FW",Montpellier,26.0,1998.0,16,14,1166,13.0,4,1,5,3,1,2,2,0,0.31,0.08,0.39,0.23,0.31,Matches,ligue1,2024-2025
ab90a99b,403,Plamedi Nsingi,,FW,Nantes,23.0,2000.0,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
